CNT,ST004D01T,ST062Q01TA,ST062Q02TA,ST294Q02JA,ST295Q02JA,ST296Q04JA,RELATST,BELONG,PERSEVAGR,CURIOAGR,GROSAGR,FAMSUP,DISCLIM,TEACHSUP,MATHEFF,ANXMAT,MATHPERS,HISCED,HISEI,HOMEPOS,ESCS,top_10_percent
DEU,2.0,1.0,1.0,2.0,2.0,1.0,1.038,2.7562,-0.623,-0.5801,-0.6915,-0.7657,-0.0902,-0.1002,-0.643,0.6566,-1.0352,10.0,56.0,-0.2401,0.2478,0
DEU,1.0,1.0,1.0,1.0,6.0,3.0,-0.7749,-1.7882,-0.8786,0.5741,-0.0737,-1.2489,-1.0183,-0.3322,-0.3358,2.6149,-0.5335,3.0,28.48,0.2258,-1.2592,0
DEU,1.0,1.0,1.0,5.0,6.0,3.0,0.0461,2.7562,0.8932,0.0442,0.1601,1.1193,-1.5618,-2.1346,2.1451,0.3025,0.003,9.0,80.78,1.1853,1.3194,0
DEU,2.0,1.0,1.0,3.0,3.0,1.0,-1.107,-0.9687,-0.9779,-0.7005,1.8521,-0.7825,-0.0787,-0.8059,-0.4597,-0.0394,-1.012,3.0,32.5,-0.2351,-1.3785,0
DEU,1.0,1.0,1.0,5.0,5.0,2.0,0.4104,-0.4152,2.7637,0.5133,-0.9963,1.6749,0.2007,-0.3322,0.1112,0.429,0.2902,6.0,28.48,-0.8501,-1.2072,0
DEU,1.0,1.0,1.0,1.0,5.0,4.0,-0.9013,-0.3485,-0.2999,-0.5391,-0.0737,-0.4197,-0.9971,-0.5635,-0.5637,0.7889,-0.2733,3.0,57.38,0.8082,-0.4669,0
DEU,1.0,1.0,1.0,1.0,6.0,1.0,-0.5077,0.7289,0.9103,0.5768,-1.0993,-0.542,-0.1006,-1.0693,-0.7139,1.5426,-1.0317,6.0,57.38,0.9845,0.1155,0
DEU,1.0,1.0,1.0,2.0,5.0,3.0,0.1595,0.0667,-1.1241,-1.0371,0.7342,,0.4029,-0.1002,,,,5.0,57.38,-0.2345,-0.4007,0
DEU,2.0,1.0,1.0,1.0,3.0,1.0,-1.1704,-0.7546,-1.1146,-1.9362,-0.3649,-1.0285,0.9899,-2.1346,-2.2159,-0.9755,-1.0441,10.0,85.41,0.4591,1.0992,0
DEU,2.0,1.0,1.0,3.0,3.0,1.0,-0.5374,-0.3397,-0.5639,-0.9491,0.0207,0.4183,-0.8699,0.1475,,0.1748,,8.0,36.35,0.4706,0.1778,0
DEU,2.0,1.0,1.0,2.0,2.0,1.0,1.212,2.1143,-0.1389,-0.6496,0.0207,-0.0987,-0.8126,0.8211,-1.1283,-1.0075,0.411,6.0,75.54,0.1316,0.0972,0
DEU,1.0,1.0,1.0,1.0,,,-0.6352,2.2967,,,,,,,,,,10.0,85.41,2.2125,1.8419,0
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,2.0,4.0,4.0,1.0,2.0,1.0,-1.7498,0.5005,-1.5925,-1.0633,-0.8073,-0.5604,1.7914,1.5558,-1.2014,,,,27.57,-1.064,-2.0137,0
DEU,2.0,1.0,1.0,1.0,6.0,3.0,1.7878,1.0833,1.4495,1.768,0.043,0.817,-0.1006,-0.1002,1.3968,-1.6741,0.4986,9.0,82.41,0.847,1.2069,1
DEU,2.0,1.0,2.0,4.0,1.0,1.0,0.1507,0.8385,-0.7202,-0.6431,-0.339,1.8355,-0.3306,-0.1002,-0.5391,0.6566,-0.2498,10.0,81.92,-0.4629,0.6428,0
DEU,2.0,1.0,2.0,1.0,4.0,3.0,-1.026,-0.9632,0.3318,0.9409,-0.0737,0.0674,0.801,1.5558,0.4705,0.1931,0.515,5.0,70.5,0.8388,0.3016,0
DEU,1.0,2.0,1.0,2.0,2.0,,,-0.5964,-1.449,-1.2492,,,,-0.3322,,,,,,-1.7807,,0
DEU,1.0,1.0,1.0,6.0,6.0,5.0,0.8405,0.1436,0.5365,-0.2072,0.678,0.7055,0.1751,0.8211,0.089,-0.2045,0.9444,3.0,16.5,-0.4384,-1.7667,0
DEU,2.0,1.0,1.0,1.0,3.0,4.0,0.648,2.7308,-0.3034,-1.1467,0.4448,-0.0736,0.4628,0.8211,0.5647,-1.2756,-0.3471,10.0,88.7,1.392,1.5565,0
DEU,2.0,1.0,2.0,1.0,4.0,1.0,0.0109,0.136,-0.9959,-1.4676,0.3487,-0.4396,-0.3191,1.5558,0.0634,0.3729,-0.095,8.0,50.9,0.8513,0.6137,1
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,2.0,1.0,1.0,2.0,2.0,4.0,1.4549,2.4581,-0.6564,-0.6312,0.2652,-0.6538,-0.5288,-0.5635,-1.048,-0.4577,-0.2903,10.0,56.0,-0.881,-0.0237,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,6.0,6.0,3.0,0.5938,0.114,0.6097,-0.2667,0.2366,-0.4686,0.3926,-0.1002,1.0848,-2.382,1.207,10.0,88.96,1.0422,1.4132,1
DEU,1.0,2.0,1.0,4.0,3.0,1.0,-0.7644,-0.0904,-0.6789,-0.9073,-1.0993,,-1.2107,-0.1002,,,,3.0,23.57,-1.2666,-1.984,0
DEU,1.0,1.0,1.0,6.0,6.0,4.0,-0.8076,-1.4661,1.2661,0.3221,0.0809,1.6726,0.4029,-2.1346,-0.1612,1.2587,0.282,8.0,73.91,2.389,1.6995,0
DEU,2.0,1.0,1.0,1.0,5.0,1.0,-0.543,-0.4839,-1.3782,1.2739,-1.4234,0.3347,-0.3191,-1.3627,1.2347,-0.3744,-0.4043,9.0,82.41,1.0325,1.2855,0
DEU,1.0,1.0,1.0,1.0,5.0,4.0,-0.7096,0.8085,-0.0967,-0.7217,-1.0993,1.5796,-0.649,-0.3322,-0.4112,1.2595,-0.128,6.0,55.25,0.5519,-0.1079,0
DEU,1.0,1.0,1.0,2.0,3.0,2.0,0.0837,0.028,-0.8925,-0.9449,-0.9963,-0.273,0.1295,-0.3322,-0.3388,-1.299,-0.2982,9.0,70.5,0.7881,0.9571,1
DEU,2.0,1.0,1.0,2.0,2.0,3.0,0.7221,0.7356,-1.3393,-0.78,,-0.0056,,,,0.8251,-0.1893,10.0,17.69,0.2831,-0.2539,0
DEU,1.0,1.0,1.0,1.0,3.0,2.0,-0.8531,0.1596,-1.181,-0.9044,-0.6787,-1.0598,-0.4735,-1.7015,0.7234,1.0112,-0.9851,8.0,72.3,0.6613,0.9373,1
DEU,2.0,,,,,,,,,,,,,,,,,,,-0.8364,,0
